keys
highschool-diploma
high-school-diploma
associates-degree
associate-s-degree
bachelors
bachelor-s
bachelor-s-degree
bachelor's
bachelors'
b.s
masters
master-s
master-s-degree
master's
masters'
phd
ph.d
doctoral
doctorate
abrasive
abrupt
agonizing
aimless
airy
aloof
amoral
angry
anxious
apathetic
arbitrary
argumentative
arrogant
asocial
assertive
astigmatic
barbaric
bewildered
bizarre
bland
blunt
biosterous
brittle
brutal
calculating
callous
cantakerous
careless
cautious
charmless
childish
clumsy
coarse
cold
colorless
complacent
complaintive
compulsive
conceited
condemnatory
conformist
confused
contemptible
conventional
cowardly
crafty
crass
crazy
criminal
critical
crude
cruel
cynical
decadent
deceitful
delicate
demanding
dependent
desperate
destructive
devious
difficult
dirty
disconcerting
discontented
discouraging
discourteous
dishonest
disloyal
disobedient
disorderly
disorganized
disputatious
disrespectful
disruptive
dissolute
dissonant
distractible
disturbing
dogmatic
domineering
dull
easily-discouraged
egocentric
enervated
envious
erratic
escapist
excitable
expedient
extravagant
extreme
faithless
fanatical
fanciful
fatalistic
fawning
fearful
fickle
fiery
fixed
flamboyant
foolish
forgetful
fraudulent
frightening
frivolous
gloomy
graceless
grand
greedy
grim
gullible
hateful
haughty
hedonistic
hesitant
hidebound
high-handed
hostile
ignorant
imitative
impatient
impractical
imprudent
impulsive
inconsiderate
incurious
indecisive
indulgent
inert
inhibited
insecure
insensitive
insincere
insulting
intolerant
irascible
irrational
irresponsible
irritable
lazy
libidinous
loquacious
malicious
mannered
mannerless
mawkish
mealymouthed
mechanical
meddlesome
melancholic
meretricious
messy
miserable
miserly
misguided
mistaken
money-minded
monstrous
moody
morbid
muddle-headed
naive
narcissistic
narrow
narrow-minded
natty
negativistic
neglectful
neurotic
nihilistic
obnoxious
obsessive
obvious
odd
offhand
one-dimensional
one-sided
opinionated
opportunistic
oppressed
outrageous
overimaginative
paranoid
passive
pedantic
perverse
petty
pharissical
phlegmatic
plodding
pompous
possessive
power-hungry
predatory
prejudiced
presumptuous
pretentious
prim
procrastinating
profligate
provocative
pugnacious
puritanical
quirky
reactionary
