Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.95,-0.0384,-3.885%,74787339.00,United States,,3774858,Energy,Oil & Gas Production
SNP,China Petroleum & Chemical Corporation Common Stock,$49.56,-0.71,-1.412%,60002891478.00,China,,105697,Energy,Integrated oil Companies
SOI,Solaris Oilfield Infrastructure Inc. Class A Common Stock,$8.22,-0.14,-1.675%,376274577.00,United States,2017,115687,Energy,Metal Fabrications
SRLP,Sprague Resources LP Common Units representing Limited Partner Interests,$21.95,0.12,0.55%,575666297.00,,2013,42262,Energy,Oil Refining/Marketing
SSL,Sasol Ltd. American Depositary Shares,$17.71,0.40,2.311%,11234029319.00,South Africa,,472577,Energy,Oil & Gas Production
SUN,Sunoco LP Common Units representing limited partner interests,$41.74,0.16,0.385%,4164103571.00,United States,2012,509803,Energy,Oil Refining/Marketing
SWN,Southwestern Energy Company Common Stock,$5.01,0.07,1.417%,5085050962.00,United States,,17819483,Energy,Oil & Gas Production
TALO,Talos Energy Inc. Common Stock,$12.63,0.24,1.937%,1034163055.00,,2018,585425,Energy,Oil & Gas Production
TDW,Tidewater Inc. Common Stock,$12.49,-0.14,-1.108%,513841173.00,United States,2017,66715,Energy,Oilfield Services/Equipment
TELL,Tellurian Inc. Common Stock,$3.56,0.02,0.565%,1675762150.00,United States,,9982157,Energy,Oil & Gas Production
TH,Target Hospitality Corp. Common Stock,$3.68,0.07,1.939%,374725336.00,United States,2018,47258,Energy,Oil & Gas Production
THWWW,Target Hospitality Corp. Warrant expiring 3/15/2024,$0.50,0.02,4.167%,0.00,United States,2018,75226,Energy,Oil & Gas Production
TPL,Texas Pacific Land Corporation Common Stock,$1265.98,24.95,2.01%,9809932166.00,United States,,13973,Energy,Oil & Gas Production
TTE,TotalEnergies SE,$51.16,-0.43,-0.833%,135075492816.00,France,,1842345,Energy,Oil & Gas Production
TTI,Tetra Technologies Inc. Common Stock,$3.39,0.00,0.00%,429190614.00,United States,,528564,Energy,Oil & Gas Production
TUSK,Mammoth Energy Services Inc. Common Stock,$3.38,0.06,1.807%,157780871.00,United States,2016,46150,Energy,Oilfield Services/Equipment
UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share),$2.42,-0.08,-3.20%,2633359361.00,Brazil,,4631554,Energy,Oil Refining/Marketing
USAC,USA Compression Partners LP Common Units Representing Limited Partner Interests,$16.95,-0.60,-3.419%,1645289379.00,United States,2013,357356,Energy,Oilfield Services/Equipment
USEG,U.S. Energy Corp. Common Stock,$3.82,-0.02,-0.521%,17863470.00,United States,,462794,Energy,Oil & Gas Production
USLM,United States Lime & Minerals Inc. Common Stock,$118.51,1.49,1.273%,670586583.00,United States,,1997,Energy,Other Metals and Minerals
USWS,U.S. Well Services Inc. Class A Common Stock,$2.68,-0.17,-5.965%,140011784.00,United States,2017,2424737,Energy,Oil & Gas Production
USWSW,U.S. Well Services Inc. Warrants,$0.18,0.0044,2.506%,0.00,United States,2017,178798,Energy,Oil & Gas Production
UTME,UTime Limited Ordinary Shares,$5.1005,-0.2595,-4.841%,42169878.00,China,2021,77985,Energy,Consumer Electronics/Appliances
VAL,Valaris Limited Common Shares,$36.10,-0.22,-0.606%,2707501625.00,,2021,373368,Energy,Oil & Gas Production
VEI,Vine Energy Inc. Class A Common Stock,$16.62,0.19,1.156%,1250808835.00,,2021,118931,Energy,Oil & Gas Production
VIST,Vista Oil & Gas S.A.B. de C.V. American Depositary Shares each representing one series A share with no par value,$6.75,-0.07,-1.026%,596717294.00,,2019,329838,Energy,Oil & Gas Production
VLO,Valero Energy Corporation Common Stock,$80.99,-1.01,-1.232%,33110609596.00,United States,,3923130,Energy,Integrated oil Companies
VNOM,Viper Energy Partners LP Common Unit,$23.97,0.24,1.011%,4081162210.00,United States,2014,335103,Energy,Oil & Gas Production
VOC,VOC Energy Trust Units of Beneficial Interest,$5.20,0.06,1.167%,88400000.00,United States,2011,125473,Energy,Oil & Gas Production
VTNR,Vertex Energy Inc Common Stock,$4.92,-0.19,-3.718%,301573644.00,United States,,1365063,Energy,Oilfield Services/Equipment
VTOL,Bristow Group Inc. Common Stock,$35.94,0.81,2.306%,1015639062.00,United States,,109182,Energy,Metal Fabrications
WES,Western Midstream Partners LP Common Units Representing Limited Partner Interests,$22.74,-0.12,-0.525%,9393359837.00,United States,2012,538481,Energy,Oilfield Services/Equipment
WFRD,Weatherford International plc Ordinary Shares,$28.70,1.69,6.257%,2012450945.00,United States,,190442,Energy,Metal Fabrications
WHD,Cactus Inc. Class A Common Stock,$44.80,-0.08,-0.178%,3391360000.00,,2018,236325,Energy,Metal Fabrications
WLL,Whiting Petroleum Corporation Common Stock (New),$66.93,0.64,0.965%,2618164394.00,United States,2020,327211,Energy,Oil & Gas Production
WTI,W&T Offshore Inc. Common Stock,$4.67,0.18,4.009%,664855160.00,United States,2005,3500115,Energy,Oil & Gas Production
WTTR,Select Energy Services Inc. Class A Common Stock,$6.38,-0.03,-0.468%,696567858.00,United States,2017,279656,Energy,Oil & Gas Production
XOG,Extraction Oil & Gas Inc. Common Stock,$65.91,1.42,2.202%,1703251625.00,United States,,369747,Energy,Oil & Gas Production
XOM,Exxon Mobil Corporation Common Stock,$63.12,0.43,0.686%,267222491321.00,United States,,14251035,Energy,Oil & Gas Production
XPRO,Expro Group Holdings N.V. Common Stock,$18.40,0.44,2.45%,2007573510.00,,2013,420544,Energy,Oilfield Services/Equipment
YPF,YPF Sociedad Anonima Common Stock,$4.47,-0.12,-2.614%,1758108185.00,Argentina,1993,2743141,Energy,Integrated oil Companies
ZEST,Ecoark Holdings Inc. Common Stock,$4.163,0.033,0.799%,109691299.00,United States,,42847,Energy,Oil & Gas Production
