Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MPC,Marathon Petroleum Corporation Common Stock,$67.52,0.49,0.731%,43091411059.00,United States,,3977789,Energy,Integrated oil Companies
MPLX,MPLX LP Common Units Representing Limited Partner Interests,$30.75,-0.19,-0.614%,31435709318.00,United States,2012,2164151,Energy,Oil & Gas Production
MRO,Marathon Oil Corporation Common Stock,$16.58,0.40,2.472%,13071652817.00,United States,,13346310,Energy,Oil & Gas Production
MTDR,Matador Resources Company Common Stock,$43.74,0.44,1.016%,5116825835.00,United States,2012,1621121,Energy,Oil & Gas Production
MTR,Mesa Royalty Trust Common Stock,$6.82,0.17,2.556%,12709684.00,United States,,19011,Energy,Oil & Gas Production
MUR,Murphy Oil Corporation Common Stock,$28.61,0.46,1.634%,4418384005.00,United States,,1425300,Energy,Oil & Gas Production
MVO,MV Oil Trust Units of Beneficial Interests,$8.42,0.08,0.959%,96830000.00,United States,2007,37298,Energy,Oil & Gas Production
MXC,Mexco Energy Corporation Common Stock,$11.76,0.09,0.771%,24603872.00,United States,,66798,Energy,Oil & Gas Production
NBR,Nabors Industries Ltd.,$120.60,-2.31,-1.879%,993931171.00,Bermuda,,147423,Energy,Oil & Gas Production
NCSM,NCS Multistage Holdings Inc. Common Stock,$29.97,-0.03,-0.10%,71339179.00,United States,2017,3138,Energy,Oilfield Services/Equipment
NE,Noble Corporation plc Ordinary Shares,$26.57,0.33,1.258%,1598435391.00,,2021,48626,Energy,Oil & Gas Production
NEX,NexTier Oilfield Solutions Inc. Common Stock,$4.81,-0.04,-0.825%,1162818424.00,United States,2017,1014396,Energy,Oilfield Services/Equipment
NEXT,NextDecade Corporation Common Stock,$3.34,0.01,0.30%,411884555.00,United States,2015,440880,Energy,Oil & Gas Production
NFG,National Fuel Gas Company Common Stock,$58.19,0.40,0.692%,5305831351.00,United States,,170936,Energy,Oil & Gas Production
NGS,Natural Gas Services Group Inc. Common Stock,$11.31,-0.67,-5.593%,149102693.00,United States,2002,122915,Energy,Metal Fabrications
NINE,Nine Energy Service Inc. Common Stock,$1.99,0.00,0.00%,62387847.00,United States,2018,130076,Energy,Oilfield Services/Equipment
NOG,Northern Oil and Gas Inc. Common Stock,$24.95,0.74,3.057%,1650993820.00,United States,,770839,Energy,Oil & Gas Production
NOV,NOV Inc. Common Stock,$14.89,0.14,0.949%,5817584496.00,United States,,2615079,Energy,Metal Fabrications
NR,Newpark Resources Inc. Common Stock,$3.60,0.06,1.695%,331488306.00,United States,,440376,Energy,Metal Fabrications
NRP,Natural Resource Partners LP Limited Partnership,$33.30,-0.03,-0.09%,411298490.00,United States,2002,64681,Energy,Coal Mining
NRT,North European Oil Royality Trust Common Stock,$10.10,0.13,1.304%,92824959.00,United States,,11410,Energy,Oil & Gas Production
NVVE,Nuvve Holding Corp. Common Stock,$11.74,0.00,0.00%,219705002.00,China,2020,102254,Energy,Oil Refining/Marketing
NVVEW,Nuvve Holding Corp. Warrant,$1.64,0.08,5.128%,0.00,China,2020,35008,Energy,Oil Refining/Marketing
