pay_low_end,pay_high_end,job_id,state,report_year
112000,179000,4,dmv,2024
100000,110000,4,dmv,2024
115889,197011,4,dmv,2024
101566,133400,4,dmv,2024
135000,216000,4,dmv,2024
102900,216200,4,dmv,2024
120000,300500,4,dmv,2024
143600,239300,4,dmv,2024
86030,159770,4,dmv,2024
86000,138000,4,dmv,2024
151700,237050,4,dmv,2024
125500,196075,4,dmv,2024
103800,162225,4,dmv,2024
70800,133750,4,dmv,2024
102900,216200,4,dmv,2024
120001,160000,4,dmv,2024
151700,237050,4,dmv,2024
138000,215625,4,dmv,2024
114100,178300,4,dmv,2024
77800,147225,4,dmv,2024
76000,185000,4,dmv,2024
86000,138000,4,dmv,2024
122000,182000,4,dmv,2024
120001,160000,4,dmv,2024
120000,130000,4,dmv,2024
