security_clearance,frequency,job_id,state,report_year
public-trust,5,0,dmv,2024
public-trust-clearance,2,0,dmv,2024
secret-security,0,0,dmv,2024
secret-security-clearance,3,0,dmv,2024
secret-clearance,10,0,dmv,2024
top-secret,2,0,dmv,2024
top-secret-sci,2,0,dmv,2024
ts/sci,0,0,dmv,2024
ts-sci,10,0,dmv,2024
sap,5,0,dmv,2024
q-clearance,0,0,dmv,2024
l-clearance,0,0,dmv,2024
