pay_low_end,pay_high_end,job_id
42000,62500,2
50000,65000,2
66900,93400,2
66900,93400,2
88000,173200,2
78000,118000,2
59469,101098,2
58400,133000,2
68900,124550,2
147300,250400,2
70720,83200,2
70720,83200,2
68900,124550,2
73100,166000,2
68000,88000,2
60000,90000,2
95000,100000,2
68900,124550,2
68000,88000,2
68900,124550,2
147300,250400,2
