pay_low_end,pay_high_end,job_id
120000,300500,1
100000,215000,1
102900,216200,1
66000,106000,1
195000,230000,1
120000,300500,1
100000,215000,1
102900,216200,1
66000,106000,1
195000,230000,1
120000,300500,1
100000,215000,1
102900,216200,1
66000,106000,1
195000,230000,1
120000,300500,1
100000,215000,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
102900,216200,1
