pay_low_end,pay_high_end,job_id
83550,178603,1
83550,162366,1
101096,178603,1
83550,178603,1
83550,178603,1
95000,115000,1
160000,180000,1
105000,125000,1
80000,120000,1
200000,250000,1
150000,180000,1
160000,250000,1
125000,270000,1
100000,215000,1
123219,167565,1
100000,215000,1
96400,168700,1
118129,200864,1
143000,200000,1
155000,165000,1
118129,200864,1
96400,168700,1
110100,250000,1
180000,196000,1
175000,250000,1
108000,131000,1
108000,131000,1
146000,234000,1
112000,218400,1
145800,238600,1
130000,270000,1
145000,150000,1
102900,216200,1
84600,193000,1
