education,frequency,job_id
highschool,0,2
bachelor,54,2
bachelors,7,2
bachelor's,0,2
bachelors',0,2
b.s,0,2
b.s.,0,2
master,15,2
masters,2,2
master's,0,2
masters',0,2
phd,2,2
ph.d,1,2
doctoral,0,2
