education,frequency,job_id
highschool,0,1
bachelor,49,1
bachelors,6,1
bachelor's,0,1
bachelors',0,1
b.s,3,1
b.s.,3,1
master,22,1
masters,4,1
master's,0,1
masters',0,1
phd,5,1
ph.d,2,1
doctoral,0,1
