education,frequency,job_id
highschool,0,2
bachelor,46,2
bachelors,7,2
bachelor's,0,2
bachelors',0,2
b.s,0,2
b.s.,0,2
master,13,2
masters,3,2
master's,0,2
masters',0,2
phd,0,2
ph.d,0,2
doctoral,0,2
