Academic Year,LEA Number,LEA Name,School Number,School Name,Assessment,Tested Count,Level 1: Did not yet meet expectations - Count,Level 1: Did not yet meet expectations - Percent,Level 2: Partially met expectations - Count,Level 2: Partially met expectations - Percent,Level 3: Approached expectations - Count,Level 3: Approached expectations - Percent,Level 4: Met expectations - Count,Level 4: Met expectations - Percent,Level 5: Exceeded expectations - Count,Level 5: Exceeded expectations - Percent,Create Date
2017,02,Anne Arundel,2102,Folger Mckinsey Elementary,Mathematics Grade 3,103,*,<= 5.0,6,5.8,15,14.6,39,37.9,43,41.7,20180117
2017,02,Anne Arundel,2102,Folger Mckinsey Elementary,Mathematics Grade 4,117,*,<= 5.0,8,6.8,15,12.8,65,55.6,28,23.9,20180117
2017,02,Anne Arundel,2102,Folger Mckinsey Elementary,Mathematics Grade 5,91,*,<= 5.0,8,8.8,15,16.5,43,47.3,24,26.4,20180117
2017,02,Anne Arundel,2112,Fort Smallwood Elementary,English/Language Arts Grade 3,59,5,8.5,4,6.8,8,13.6,38,64.4,4,6.8,20180117
2017,02,Anne Arundel,2112,Fort Smallwood Elementary,English/Language Arts Grade 4,63,*,<= 5.0,4,6.3,17,27,30,47.6,9,14.3,20180117
2017,02,Anne Arundel,2112,Fort Smallwood Elementary,English/Language Arts Grade 5,76,7,9.2,10,13.2,8,10.5,48,63.2,*,<= 5.0,20180117
2017,02,Anne Arundel,2112,Fort Smallwood Elementary,Mathematics Grade 3,59,4,6.8,4,6.8,15,25.4,22,37.3,14,23.7,20180117
2017,02,Anne Arundel,2112,Fort Smallwood Elementary,Mathematics Grade 4,63,*,<= 5.0,14,22.2,23,36.5,23,36.5,*,<= 5.0,20180117
2017,02,Anne Arundel,2112,Fort Smallwood Elementary,Mathematics Grade 5,76,6,7.9,14,18.4,19,25,30,39.5,7,9.2,20180117
2017,02,Anne Arundel,2132,High Point Elementary,English/Language Arts Grade 3,118,24,20.3,20,16.9,23,19.5,48,40.7,*,<= 5.0,20180117
2017,02,Anne Arundel,2132,High Point Elementary,English/Language Arts Grade 4,101,15,14.9,26,25.7,26,25.7,33,32.7,*,<= 5.0,20180117
2017,02,Anne Arundel,2132,High Point Elementary,English/Language Arts Grade 5,114,8,7,21,18.4,39,34.2,46,40.4,*,<= 5.0,20180117
2017,02,Anne Arundel,2132,High Point Elementary,Mathematics Grade 3,118,23,19.5,25,21.2,41,34.7,28,23.7,*,<= 5.0,20180117
2017,02,Anne Arundel,2132,High Point Elementary,Mathematics Grade 4,101,10,9.9,31,30.7,34,33.7,26,25.7,*,<= 5.0,20180117
2017,02,Anne Arundel,2132,High Point Elementary,Mathematics Grade 5,114,*,<= 5.0,45,39.5,43,37.7,21,18.4,*,<= 5.0,20180117
2017,02,Anne Arundel,2142,Jacobsville Elementary,English/Language Arts Grade 3,83,12,14.5,8,9.6,17,20.5,43,51.8,*,<= 5.0,20180117
2017,02,Anne Arundel,2142,Jacobsville Elementary,English/Language Arts Grade 4,89,8,9,12,13.5,25,28.1,41,46.1,*,<= 5.0,20180117
2017,02,Anne Arundel,2142,Jacobsville Elementary,English/Language Arts Grade 5,102,20,19.6,19,18.6,27,26.5,33,32.4,*,<= 5.0,20180117
2017,02,Anne Arundel,2142,Jacobsville Elementary,Mathematics Grade 3,83,11,13.3,14,16.9,26,31.3,29,34.9,*,<= 5.0,20180117
2017,02,Anne Arundel,2142,Jacobsville Elementary,Mathematics Grade 4,89,*,<= 5.0,25,28.1,23,25.8,38,42.7,*,<= 5.0,20180117
2017,02,Anne Arundel,2142,Jacobsville Elementary,Mathematics Grade 5,102,11,10.8,23,22.5,36,35.3,31,30.4,*,<= 5.0,20180117
2017,02,Anne Arundel,2152,Jones Elementary,English/Language Arts Grade 3,58,3,5.2,3,5.2,17,29.3,29,50,6,10.3,20180117
2017,02,Anne Arundel,2152,Jones Elementary,English/Language Arts Grade 4,60,*,<= 5.0,*,<= 5.0,11,18.3,29,48.3,17,28.3,20180117
