Date,Euro,Pound
2017-12-01,0.839423,0.740163
2018-01-01,0.833311,0.741019
2018-02-01,0.801229,0.701957
2018-03-01,0.818385,0.726938
2018-04-01,0.81161,0.71386
2018-05-01,0.833451,0.734708
2018-06-01,0.856286,0.748725
2018-07-01,0.855388,0.757244
2018-08-01,0.857058,0.76221
2018-09-01,0.861582,0.771783
2018-10-01,0.864429,0.767397
2018-11-01,0.877458,0.771127
