education,frequency,job_id
highschool,0,1
bachelor,49,1
bachelors,5,1
bachelor's,0,1
bachelors',0,1
b.s,1,1
b.s.,1,1
master,14,1
masters,1,1
master's,0,1
masters',0,1
phd,2,1
ph.d,1,1
doctoral,0,1
