pay_low_end,pay_high_end,job_id,state,report_year
170560,187200,3,dmv,2024
150000,165000,3,dmv,2024
110069,156436,3,dmv,2024
114000,195400,3,dmv,2024
115889,197011,3,dmv,2024
143600,239300,3,dmv,2024
146000,234000,3,dmv,2024
84600,193000,3,dmv,2024
84600,193000,3,dmv,2024
111845,170147,3,dmv,2024
196880,295320,3,dmv,2024
96400,168700,3,dmv,2024
76000,236500,3,dmv,2024
150000,160000,3,dmv,2024
96038,209169,3,dmv,2024
96038,190154,3,dmv,2024
116205,209169,3,dmv,2024
96038,209169,3,dmv,2024
105641,190154,3,dmv,2024
96038,209169,3,dmv,2024
125000,170000,3,dmv,2024
92290,156860,3,dmv,2024
96038,209169,3,dmv,2024
96038,190154,3,dmv,2024
116205,209169,3,dmv,2024
96038,209169,3,dmv,2024
105641,190154,3,dmv,2024
96038,209169,3,dmv,2024
98000,140000,3,dmv,2024
111845,170147,3,dmv,2024
76000,236500,3,dmv,2024
150000,175000,3,dmv,2024
146000,234000,3,dmv,2024
94400,126000,3,dmv,2024
