pay_low_end,pay_high_end,job_id,state,report_year
58400,133000,0,dmv,2024
70720,83200,0,dmv,2024
73100,166000,0,dmv,2024
52000,58240,0,dmv,2024
78000,118000,0,dmv,2024
73100,166000,0,dmv,2024
95000,100000,0,dmv,2024
65300,149000,0,dmv,2024
112000,179000,0,dmv,2024
70000,90000,0,dmv,2024
120000,150000,0,dmv,2024
68900,124550,0,dmv,2024
59469,101098,0,dmv,2024
120000,150000,0,dmv,2024
111119,155880,0,dmv,2024
103281,145138,0,dmv,2024
111561,156502,0,dmv,2024
71500,150200,0,dmv,2024
72000,155000,0,dmv,2024
72000,155000,0,dmv,2024
112000,179000,0,dmv,2024
57000,85000,0,dmv,2024
68900,124550,0,dmv,2024
49800,102000,0,dmv,2024
65300,149000,0,dmv,2024
89150,133734,0,dmv,2024
60000,90000,0,dmv,2024
49800,102000,0,dmv,2024
55500,111100,0,dmv,2024
103800,181700,0,dmv,2024
125500,219600,0,dmv,2024
151700,265500,0,dmv,2024
166800,291900,0,dmv,2024
