pay_low_end,pay_high_end,job_id,state,report_year
75600,172000,1,dmv,2024
168000,252000,1,dmv,2024
100900,187300,1,dmv,2024
150000,180000,1,dmv,2024
150000,180000,1,dmv,2024
65000,105000,1,dmv,2024
100900,187300,1,dmv,2024
165100,188500,1,dmv,2024
100900,187300,1,dmv,2024
160000,280000,1,dmv,2024
145000,170000,1,dmv,2024
70516,119891,1,dmv,2024
120000,145000,1,dmv,2024
77000,261500,1,dmv,2024
101400,183300,1,dmv,2024
198900,227000,1,dmv,2024
110000,261500,1,dmv,2024
80000,150000,1,dmv,2024
80000,150000,1,dmv,2024
180000,220000,1,dmv,2024
83200,93600,1,dmv,2024
