pay_low_end,pay_high_end,job_id,state,report_year
85000,130000,0,dmv,2024
76848,130642,0,dmv,2024
80000,100000,0,dmv,2024
90000,100000,0,dmv,2024
50000,75000,0,dmv,2024
65000,75000,0,dmv,2024
130000,160000,0,dmv,2024
112000,179000,0,dmv,2024
98600,133400,0,dmv,2024
98000,133000,0,dmv,2024
75157,127767,0,dmv,2024
130000,160000,0,dmv,2024
140690,239140,0,dmv,2024
100000,114000,0,dmv,2024
78800,95000,0,dmv,2024
100000,105000,0,dmv,2024
101000,130000,0,dmv,2024
120000,150000,0,dmv,2024
146000,234000,0,dmv,2024
66100,109000,0,dmv,2024
79400,123900,0,dmv,2024
71000,95100,0,dmv,2024
74400,100000,0,dmv,2024
77700,104200,0,dmv,2024
