pay_low_end,pay_high_end,job_id,state,report_year
122000,182000,4,dmv,2024
70782,88478,4,dmv,2024
70000,88000,4,dmv,2024
101417,111663,4,dmv,2024
75000,80000,4,dmv,2024
70000,75000,4,dmv,2024
47840,62400,4,dmv,2024
75000,80000,4,dmv,2024
47840,62400,4,dmv,2024
125000,145000,4,dmv,2024
70000,80000,4,dmv,2024
76000,114000,4,dmv,2024
83200,104000,4,dmv,2024
120000,160000,4,dmv,2024
85800,180200,4,dmv,2024
139395,181216,4,dmv,2024
120000,140000,4,dmv,2024
68900,124550,4,dmv,2024
140690,239140,4,dmv,2024
70000,80000,4,dmv,2024
87942,95484,4,dmv,2024
80000,107000,4,dmv,2024
86008,143353,4,dmv,2024
97875,163125,4,dmv,2024
60000,70000,4,dmv,2024
90000,125000,4,dmv,2024
91628,155921,4,dmv,2024
66000,106000,4,dmv,2024
85000,108000,4,dmv,2024
66000,106000,4,dmv,2024
55760,69700,4,dmv,2024
135000,155000,4,dmv,2024
