pay_low_end,pay_high_end,job_id,state,report_year
70000,80000,4,dmv,2024
122000,182000,4,dmv,2024
75600,172000,4,dmv,2024
76000,114000,4,dmv,2024
47840,62400,4,dmv,2024
75000,80000,4,dmv,2024
70000,80000,4,dmv,2024
97875,163125,4,dmv,2024
76000,114000,4,dmv,2024
122000,182000,4,dmv,2024
50039,57007,4,dmv,2024
86008,143353,4,dmv,2024
85000,108000,4,dmv,2024
85000,108000,4,dmv,2024
64984,78486,4,dmv,2024
91628,155921,4,dmv,2024
135000,155000,4,dmv,2024
86008,143353,4,dmv,2024
100100,170200,4,dmv,2024
108727,119600,4,dmv,2024
60000,70000,4,dmv,2024
