pay_low_end,pay_high_end,job_id,state,report_year
120000,160000,1,dmv,2024
105200,196500,1,dmv,2024
105200,169700,1,dmv,2024
97300,196500,1,dmv,2024
112100,180700,1,dmv,2024
100900,187300,1,dmv,2024
67700,154000,1,dmv,2024
60400,137000,1,dmv,2024
64828,81329,1,dmv,2024
94122,145926,1,dmv,2024
100900,187300,1,dmv,2024
67700,154000,1,dmv,2024
60400,137000,1,dmv,2024
64828,81329,1,dmv,2024
94122,145926,1,dmv,2024
127046,176000,1,dmv,2024
25000,50000,1,dmv,2024
85000,100000,1,dmv,2024
67700,154000,1,dmv,2024
150000,180000,1,dmv,2024
92400,204600,1,dmv,2024
