pay_low_end,pay_high_end,job_id,state,report_year
85000,110000,0,dmv,2024
105000,130000,0,dmv,2024
90700,170200,0,dmv,2024
90700,147100,0,dmv,2024
83900,170200,0,dmv,2024
96600,156600,0,dmv,2024
64000,70000,0,dmv,2024
90700,170200,0,dmv,2024
90700,147100,0,dmv,2024
83900,170200,0,dmv,2024
96600,156600,0,dmv,2024
88590,101690,0,dmv,2024
110000,150000,0,dmv,2024
75000,85000,0,dmv,2024
75000,100000,0,dmv,2024
110000,115000,0,dmv,2024
96200,158900,0,dmv,2024
115500,180500,0,dmv,2024
79000,135000,0,dmv,2024
89965,133559,0,dmv,2024
80000,103000,0,dmv,2024
102340,120400,0,dmv,2024
