pay_low_end,pay_high_end,job_id,state,report_year
80000,103000,0,dmv,2024
100000,105000,0,dmv,2024
55000,65000,0,dmv,2024
102000,125000,0,dmv,2024
62100,120000,0,dmv,2024
71500,110400,0,dmv,2024
85404,102715,0,dmv,2024
85404,102715,0,dmv,2024
58700,66400,0,dmv,2024
114400,124800,0,dmv,2024
54500,162000,0,dmv,2024
54500,140000,0,dmv,2024
50500,162000,0,dmv,2024
58100,149000,0,dmv,2024
65300,149000,0,dmv,2024
75000,95000,0,dmv,2024
75000,95000,0,dmv,2024
65300,149000,0,dmv,2024
64200,95000,0,dmv,2024
