pay_low_end,pay_high_end,job_id
68000,78000,1
73100,166000,1
72000,155000,1
72000,155000,1
130000,140000,1
75570,128480,1
113100,174460,1
113100,174460,1
130000,150000,1
52100,119000,1
39000,59007,1
119000,137000,1
114000,135000,1
45400,93000,1
57500,117900,1
52100,119000,1
45400,93000,1
94400,198300,1
104700,190400,1
88984,100000,1
