security_clearance,frequency,job_id,state,report_year
public-trust,6,0,dmv,2024
public-trust-clearance,1,0,dmv,2024
secret-security,0,0,dmv,2024
secret-security-clearance,8,0,dmv,2024
secret-clearance,19,0,dmv,2024
top-secret,6,0,dmv,2024
top-secret-sci,1,0,dmv,2024
ts/sci,0,0,dmv,2024
ts-sci,14,0,dmv,2024
sap,0,0,dmv,2024
q-clearance,0,0,dmv,2024
l-clearance,0,0,dmv,2024
