security_clearance,frequency,job_id
public-trust,1,0
public-trust-clearance,4,0
secret-security,0,0
secret-security-clearance,5,0
secret-clearance,4,0
top-secret,3,0
top-secret-sci,3,0
ts/sci,0,0
ts-sci,18,0
sap,5,0
q-clearance,0,0
l-clearance,0,0
