security_clearance,frequency,job_id,state,report_year
public-trust,6,1,dmv,2024
public-trust-clearance,1,1,dmv,2024
secret-security,0,1,dmv,2024
secret-security-clearance,0,1,dmv,2024
secret-clearance,8,1,dmv,2024
top-secret,3,1,dmv,2024
top-secret-sci,8,1,dmv,2024
ts/sci,0,1,dmv,2024
ts-sci,41,1,dmv,2024
sap,0,1,dmv,2024
q-clearance,0,1,dmv,2024
l-clearance,0,1,dmv,2024
