security_clearance,frequency,job_id
public-trust,4,2
public-trust-clearance,2,2
secret-security,0,2
secret-security-clearance,0,2
secret-clearance,4,2
top-secret,0,2
top-secret-sci,0,2
ts/sci,0,2
ts-sci,11,2
sap,0,2
q-clearance,0,2
l-clearance,0,2
