security_clearance,frequency,job_id
public-trust,6,0
public-trust-clearance,0,0
secret-security,0,0
secret-security-clearance,1,0
secret-clearance,14,0
top-secret,2,0
top-secret-sci,0,0
ts/sci,0,0
ts-sci,14,0
sap,1,0
q-clearance,0,0
l-clearance,0,0
