security_clearance,frequency,job_id
public-trust,5,0
public-trust-clearance,3,0
secret-security,0,0
secret-security-clearance,0,0
secret-clearance,9,0
top-secret,3,0
top-secret-sci,4,0
ts/sci,0,0
ts-sci,11,0
sap,0,0
q-clearance,0,0
l-clearance,0,0
