security_clearance,frequency,job_id
public-trust,2,0
public-trust-clearance,1,0
secret-security,0,0
secret-security-clearance,0,0
secret-clearance,12,0
top-secret,2,0
top-secret-sci,1,0
ts/sci,0,0
ts-sci,4,0
sap,2,0
q-clearance,0,0
l-clearance,0,0
