Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MOS,Mosaic Company (The) Common Stock,$42.01,-0.16,-0.379%,15959470617.00,United States,,2652676,Basic Industries,Agricultural Chemicals
MP,MP Materials Corp. Common Stock,$36.51,1.12,3.165%,6489932495.00,,2020,1546883,Basic Industries,Metal Mining
MSB,Mesabi Trust Common Stock,$30.80,-5.16,-14.349%,404096308.00,United States,,870571,Basic Industries,Steel/Iron Ore
MT,Arcelor Mittal NY Registry Shares NEW,$31.92,0.18,0.567%,31103993641.00,Luxembourg,,2741038,Basic Industries,Steel/Iron Ore
MTCN,ArcelorMittal 5.50% Mandatorily Convertible Subordinated Notes due 2023,$75.43,0.32,0.426%,0.00,Luxembourg,2020,5498,Basic Industries,Steel/Iron Ore
MTL,Mechel PAO American Depositary Shares (Each rep. 1 common shares),$4.55,0.11,2.477%,1236537666.00,Russia,2004,231559,Basic Industries,Steel/Iron Ore
MTX,Minerals Technologies Inc. Common Stock,$70.77,-0.19,-0.268%,2377388287.00,United States,1992,69409,Basic Industries,Major Chemicals
MTZ,MasTec Inc. Common Stock,$88.54,-0.28,-0.315%,6579840095.00,United States,,564134,Basic Industries,Water Supply
MUX,McEwen Mining Inc. Common Stock,$1.15,0.02,1.77%,528065500.00,Canada,,4522997,Basic Industries,Precious Metals
MYRG,MYR Group Inc. Common Stock,$110.02,3.58,3.363%,1855759049.00,United States,,156870,Basic Industries,Water Supply
NAKD,Naked Brand Group Limited Ordinary Shares,$0.60,-0.051,-7.834%,543941369.00,New Zealand,,58366826,Basic Industries,Industrial Specialties
NEM,Newmont Corporation,$57.61,0.43,0.752%,46037655946.00,United States,,7951330,Basic Industries,Precious Metals
NEU,NewMarket Corp Common Stock,$374.96,0.05,0.013%,4097611250.00,United States,,32340,Basic Industries,Major Chemicals
NEXA,Nexa Resources S.A. Common Shares,$10.86,0.19,1.781%,1438283315.00,,2017,163768,Basic Industries,Precious Metals
NGVT,Ingevity Corporation Common Stock ,$78.63,-0.36,-0.456%,3107495814.00,,2016,166763,Basic Industries,Industrial Specialties
NP,Neenah Inc. Common Stock,$50.98,0.21,0.414%,859655195.00,United States,,46384,Basic Industries,Paper
NTIC,Northern Technologies International Corporation Common Stock,$16.03,-0.24,-1.475%,146031072.00,United States,,2449,Basic Industries,Major Chemicals
NUE,Nucor Corporation Common Stock,$102.33,0.26,0.255%,30053761664.00,United States,,3151591,Basic Industries,Steel/Iron Ore
NWPX,Northwest Pipe Company Common Stock,$23.36,-0.13,-0.553%,230576445.00,United States,1995,47870,Basic Industries,Steel/Iron Ore
NX,Quanex Building Products Corporation Common Stock,$20.87,-0.16,-0.761%,699599716.00,United States,,172021,Basic Industries,Metal Fabrications
OCC,Optical Cable Corporation Common Stock,$4.01,-0.07,-1.716%,30340346.00,United States,,34594,Basic Industries,Telecommunications Equipment
ODC,Oil-Dri Corporation Of America Common Stock,$34.75,0.03,0.086%,256469734.00,United States,,7879,Basic Industries,Industrial Specialties
OEC,Orion Engineered Carbons S.A Common Shares,$19.19,0.11,0.577%,1160747775.00,Luxembourg,2014,143407,Basic Industries,Specialty Chemicals
OLN,Olin Corporation Common Stock,$56.40,4.83,9.366%,9050059338.00,United States,,3207267,Basic Industries,Industrial Specialties
ONEW,OneWater Marine Inc. Class A Common Stock,$43.00,-0.95,-2.162%,715219000.00,United States,2020,99722,Basic Industries,Homebuilding
ORGN,Origin Materials Inc. Common Stock,$5.88,-0.20,-3.289%,830541004.00,United States,2020,1092415,Basic Industries,Industrial Specialties
ORGNW,Origin Materials Inc. Warrants,$1.40,0.00,0.00%,0.00,United States,2020,76586,Basic Industries,Major Chemicals
PACK,Ranpak Holdings Corp Class A Common Stock,$30.64,0.20,0.657%,2493938970.00,,2018,130454,Basic Industries,Containers/Packaging
PKG,Packaging Corporation of America Common Stock,$133.99,-0.76,-0.564%,12728003538.00,United States,2000,798856,Basic Industries,Paper
PKX,POSCO Common Stock,$65.14,-0.11,-0.169%,19704999040.00,South Korea,1994,255744,Basic Industries,Steel/Iron Ore
PLL,Piedmont Lithium Inc. Common Stock,$55.71,-3.08,-5.239%,884083995.00,United States,,403847,Basic Industries,Precious Metals
PLPC,Preformed Line Products Company Common Stock,$67.77,-0.58,-0.849%,332517503.00,United States,,2575,Basic Industries,Telecommunications Equipment
PPG,PPG Industries Inc. Common Stock,$161.72,-3.28,-1.988%,38342385468.00,United States,,1543684,Basic Industries,Paints/Coatings
PRIM,Primoris Services Corporation Common Stock,$27.25,-0.18,-0.656%,1464175364.00,United States,,223757,Basic Industries,Water Supply
PZG,Paramount Gold Nevada Corp. Common Stock,$0.8392,0.0149,1.808%,33998287.00,United States,2015,43870,Basic Industries,Precious Metals
REGI,Renewable Energy Group Inc. Common Stock,$57.59,3.06,5.612%,2893037566.00,United States,2012,878605,Basic Industries,Major Chemicals
REX,REX American Resources Corporation,$84.49,-0.91,-1.066%,504484552.00,United States,,6458,Basic Industries,Automotive Aftermarket
RFP,Resolute Forest Products Inc. Common Stock,$13.26,-0.22,-1.632%,1048748211.00,Canada,,286907,Basic Industries,Paper
