Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
SOLO,"Electrameccanica Vehs Corp",3.45,0.08,+2.37%,3.47,3.3501,1122317,"15:32 ET"
SPXC,"SPX Corp",60.02,0.44,+0.74%,60,58.88,61927,"15:33 ET"
STLA,"Stellantis N.V.",19.59,-0.39,-1.95%,19.66,19.54,1823613,"15:32 ET"
SUP,"Superior Industries International",6.15,-0.18,-2.84%,6.27,6.09,68068,"15:18 ET"
TEN,"Tenneco Automotive",14.19,-0.33,-2.27%,14.39,14.04,238653,"15:33 ET"
THRM,"Gentherm Inc",85.25,-1.54,-1.77%,86.62,85.05,40395,"15:33 ET"
TM,"Toyota Motor Corp Ltd Ord ADR",178.28,2.01,+1.14%,179,177.78,134808,"15:33 ET"
TSLA,"Tesla Inc",871.49,28.46,+3.38%,875.26,851.47,19420159,"15:33 ET"
TTM,"Tata Motors Ltd ADR",33.75,-0.44,-1.29%,34.43,33.63,1684210,"15:33 ET"
VC,"Visteon Corp",109.38,-1.26,-1.14%,110.83,107.44,154921,"15:28 ET"
VEV,"Vicinity Mtr Corp",5.53,0.07,+1.28%,5.86,5.3925,19836,"15:01 ET"
VLDR,"Velodyne Lidar Inc",6.13,-0.03,-0.49%,6.235,6.05,1236386,"15:33 ET"
VLTA,"Volta Inc",6.93,-0.16,-2.26%,7.1399,6.82,1192344,"15:33 ET"
VNE,"Veoneer Inc",35.17,0.010000000000005,+0.03%,35.27,35.1,888300,"15:26 ET"
VRM,"Vroom Inc",22.49,0.15,+0.67%,22.62,21.725,1005535,"15:33 ET"
WKHS,"Workhorse Grp",6.36,-0.14,-2.15%,6.53,6.33,3944175,"15:32 ET"
WNC,"Wabash National Corp",15.88,0.08,+0.51%,15.98,15.72,78757,"15:33 ET"
WPRT,"Westport Fuel Systems Inc",3.275,-0.105,-3.11%,3.4412,3.26,779168,"15:18 ET"
XL,"XL Fleet Corp",5.51,0.02,+0.36%,5.58,5.42,1079535,"15:32 ET"
XOS,"Xos Inc",4.48,-0.2,-4.27%,4.67,4.45,600397,"15:33 ET"
XPEL,"Xpel Technologies",72.11,1.46,+2.07%,73.11,69.01,145432,"15:32 ET"
XPEV,"Xpeng Inc ADR",43.35,0.56,+1.31%,43.845,41.61,8035254,"15:33 ET"
ZEV,"Lightning Emotors Inc",7.88,0.02,+0.25%,7.9499,7.7,193591,"15:26 ET"
