security_clearance,frequency,job_id
public-trust,6,0
public-trust-clearance,1,0
secret-security,0,0
secret-security-clearance,8,0
secret-clearance,19,0
top-secret,6,0
top-secret-sci,1,0
ts/sci,0,0
ts-sci,14,0
sap,0,0
q-clearance,0,0
l-clearance,0,0
