security_clearance,frequency,job_id
public-trust,3,0
public-trust-clearance,8,0
secret-security,0,0
secret-security-clearance,3,0
secret-clearance,10,0
top-secret,1,0
top-secret-sci,4,0
ts/sci,0,0
ts-sci,7,0
sap,4,0
q-clearance,0,0
l-clearance,0,0
